 ;Schlueter, Sonja / Leistung / Mittelwerte  [kW];
00:15;0,000;
00:30;0,000;
00:45;0,000;
01:00;0,000;
01:15;0,000;
01:30;0,000;
01:45;0,000;
02:00;0,000;
02:15;0,000;
02:30;0,000;
02:45;0,000;
03:00;0,000;
03:15;0,000;
03:30;0,000;
03:45;0,000;
04:00;0,000;
04:15;0,000;
04:30;0,000;
04:45;0,000;
05:00;0,000;
05:15;0,000;
05:30;0,000;
05:45;0,000;
06:00;0,000;
06:15;0,000;
06:30;0,000;
06:45;0,000;
07:00;0,024;
07:15;0,204;
07:30;0,644;
07:45;1,564;
08:00;2,460;
08:15;3,112;
08:30;3,668;
08:45;3,428;
09:00;3,560;
09:15;3,780;
09:30;3,204;
09:45;3,380;
10:00;4,044;
10:15;4,076;
10:30;5,132;
10:45;4,324;
11:00;4,648;
11:15;4,652;
11:30;5,160;
11:45;5,816;
12:00;;
12:15;;
12:30;;
12:45;;
13:00;;
13:15;;
13:30;;
13:45;;
14:00;;
14:15;;
14:30;;
14:45;;
15:00;;
15:15;;
15:30;;
15:45;;
16:00;;
16:15;;
16:30;;
16:45;;
17:00;;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
