 ;Schlueter, Sonja / Gesamtertrag / Zaehleraenderung  [kWh];
01.01.14;12,718;
02.01.14;6,990;
03.01.14;7,468;
04.01.14;6,197;
05.01.14;11,002;
06.01.14;5,413;
07.01.14;11,805;
08.01.14;8,472;
09.01.14;3,272;
10.01.14;11,135;
11.01.14;9,793;
12.01.14;13,848;
13.01.14;8,902;
14.01.14;11,871;
15.01.14;10,669;
16.01.14;6,197;
17.01.14;13,384;
18.01.14;13,273;
19.01.14;12,579;
20.01.14;1,697;
21.01.14;1,338;
22.01.14;7,871;
23.01.14;7,507;
24.01.14;2,975;
25.01.14;10,225;
26.01.14;7,479;
27.01.14;15,405;
28.01.14;19,874;
29.01.14;20,761;
30.01.14;13,604;
31.01.14;20,806;
