 ;Schlueter, Sonja / Gesamtertrag / Zaehleraenderung  [kWh];
01.01.15;12,718;
02.01.15;6,990;
03.01.15;7,468;
04.01.15;6,197;
05.01.15;11,002;
06.01.15;5,413;
07.01.15;11,805;
08.01.15;8,472;
09.01.15;3,272;
10.01.15;11,135;
11.01.15;9,793;
12.01.15;13,848;
13.01.15;8,902;
15.01.15;11,871;
15.01.15;10,669;
16.01.15;6,197;
17.01.15;13,384;
18.01.15;13,273;
19.01.15;12,579;
20.01.15;1,697;
21.01.15;1,338;
22.01.15;7,871;
23.01.15;7,507;
24.01.15;2,975;
25.01.15;10,225;
26.01.15;7,479;
27.01.15;15,405;
28.01.15;19,874;
29.01.15;20,761;
30.01.15;13,604;
31.01.15;20,806;
